,id,rating,stats.tipCount,likes.count,location.lat,location.lng
0,4ade0d7ff964a520e86b21e3,9.3,151,1006,50.84065361162879,4.3921894543526925
0,4baf1d46f964a520f4eb3be3,9.1,18,98,50.820295140338565,4.36438047099347
0,4ade0d88f964a520176c21e3,8.6,81,531,50.844442021988066,4.363066751381489
0,4bdfcad70ee3a5936b6735b0,8.8,20,98,50.83780377525141,4.356594085693359
0,4c07d5f0271dc9b6ea6f2b9a,8.7,23,185,50.83860327168577,4.379167556762695
0,4b93c7c6f964a520455134e3,9.4,74,563,50.806321743168624,4.375214016740363
0,4bc19ce92a89ef3bd292f288,9.1,7,52,50.88164624048347,4.32186760291968
0,4c9b3c2680958cfa407149d4,8.0,9,43,50.84724812541248,4.378141205093421
0,4cc6c1e4b2beb1f768042a4c,9.5,36,254,50.82968607835879,4.4300737380981525
0,4bb8c7aab35776b04236c901,8.9,16,81,50.81602239287739,4.330329895019531
0,4b93c427f964a520925034e3,8.8,11,101,50.79907278443619,4.3444061279296875
0,4c9c451bd3c2b60c9d74b6bc,9.2,5,54,50.817773490167816,4.374127785263656
0,4b71b434f964a52060572de3,9.2,30,156,50.861240949587,4.387321472167969
0,4baa84cff964a520ea703ae3,8.7,12,115,50.83987153402337,4.356023598561543
0,4bd2b7e6caff9521275cd3f0,8.2,10,96,50.84594703983974,4.384256869915706
0,4e4d17bd62e1e5f4671f145f,8.9,2,28,50.809460234062435,4.428691864013672
0,4c0a549b3c70b713e0f7275b,8.6,15,98,50.82317361877923,4.336691350374117
0,4bc78ac115a7ef3b889a79da,8.8,25,104,50.84566109899915,4.4193360743176715
0,4c308ee516adc928b149bf9c,8.7,7,34,50.790530167855124,4.3658770587635845
0,4bba10c8cf2fc9b64a15a102,9.2,14,170,50.82409975731973,4.37292488201534
0,4ade0d89f964a5201e6c21e3,8.1,15,74,50.86488391555254,4.326357176322326
0,4d30cb30982f224b9c8bb415,8.6,2,21,50.809495730513405,4.347895884437316
0,4c5e91e385a1e21ed6905c11,8.4,5,17,50.85249342976261,4.291295334604911
0,4db1831bfa8ca4b3e9f8b8ab,8.3,2,28,50.88616374735909,4.324430031493241
0,4c43194cd7fad13a1f040ada,8.3,6,25,50.89470674266259,4.345376704034393
0,4f22c8d0e4b06176428ecbc7,7.9,3,17,50.88533132921604,4.345572512423401
0,4bf91d745efe2d7f8cb66b34,8.1,12,34,50.84121789635593,4.439752712884989
0,544ab8fd498e954e946304c7,8.5,1,12,50.869869228779386,4.342228971381411
0,4dadb1fe1e72b2444e46df02,8.1,11,91,50.89167658426572,4.349485604181268
0,536bb49e498e2b47e5c80156,8.0,1,9,50.86944752578187,4.343233962604896
0,4cc6e1e91e596dcb662be167,8.0,1,10,50.787584234335874,4.355199337005615
0,4dc51250e4cd169dc642c5fd,8.0,4,18,50.8290647296976,4.347695212858302
0,4c6556e8d02b20a1ec2c9d90,8.2,44,177,50.854571684095326,4.364791159570764
0,4d7a3a691bf03704c44bded5,7.9,3,26,50.828727225914584,4.277331595720195
0,5186762f498efea876d1f1c7,7.8,2,7,50.826600463885065,4.27442140659371
0,4e174e1ad4c062b044dcc360,8.0,9,30,50.84977794076287,4.366510265790139
0,4bee9e4dd355a593cf0f0b60,7.7,3,12,50.88232209912255,4.332219825349256
0,4c78defedf08a1cd35cfd85d,7.7,3,18,50.82871802912338,4.277316726212132
0,4ba20dc3f964a52087d837e3,7.9,8,24,50.844792093927765,4.371750516116085
0,4d6f5ecb5b5ca1cd0d6a6b44,7.6,1,15,50.85343385796466,4.377986931601653
0,4fec08b5e4b06e7fdf6f2606,7.8,0,8,50.884268696374555,4.3422784075611816
0,4e4d029745dd4c13eda20140,7.8,11,45,50.84766865010238,4.35788032029984
0,4bf6e7d44a67c9284ba622cf,7.8,5,30,50.88684580201422,4.2990875244140625
0,4f5cdd19e4b075ad7ad8bed9,7.5,0,7,50.84306837976541,4.425819632407288
0,4b9227ecf964a520c7e933e3,7.5,3,18,50.81090307130471,4.317434916454511
0,4b52fc16f964a520fc8b27e3,7.4,4,11,50.88482604270971,4.346191585918179
0,4db151714b22ba776d7f82e1,7.3,4,22,50.825736364730076,4.283016296670813
0,4c76db7f923ba143324065e6,7.2,1,11,50.80999857560088,4.3587588614930555
0,4c20804d8b3aa5931bff9e5f,7.1,4,6,50.853769478570435,4.446854759878257
0,4c835703d8086dcb19657f52,7.1,8,17,50.84965762352154,4.423154725938002
